folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used
Acculturation,accult_mesa,Acculturation Score - MESA,"This is a summary acculturation score based on nativity, language spoken at home, and years of residence in the U.S. It is defined as the sum of nativity subscore and language subscore.",numeric,"","","","",""
Acculturation,age_immi,Age of immigration among participants who were not born in US mainland (50 US States + DC),"The age of immigration is defined as if participant was not born in the US 50 states, then the age of immigration is equal to the participant's age minus years lived in the US or if participant was born in the US 50 states, then the age of immigration is equal to missing.",numeric,years,"","","",""
Acculturation,bkgrd1,Background with Other reclassified,The self-identification with a Hispanic/Latino cultural group allowed for selection of an 'other' designation. This variable groups the test responses of 'other' for variations of 'Dominican' so that undercounts do not occur for that group.,choices,"",latino_background,"","",""
Acculturation,bkgrd1_c6,Background with Other reclassified (collapsed categories),Variable collapses 'Central' and 'South American' categories into one group and the 'Other' and 'More than one heritage' categories into one group.,choices,"",latino_background2,"","",""
Acculturation,bkgrd1_c7,7-level re-classification of Hispanic/Latino Background,Variable combined 'Other' and 'More than one heritage' categories into one group.,choices,"",latino_background3,"","",""
Acculturation,ethis,Ethnic identity score,Variable indicates the degree of ethnic identity.,numeric,"","","","",""
Acculturation,imgen_c2,Immigrant generation (2 categories),"This variable determines the participants immigrant generation status based on a combination of the country of origin of the participant, maternal and paternal parents, and/or the maternal and paternal grandparents.",choices,"",generation2,"","",""
Acculturation,imgen_c4,Immigrant generation (4 categories),"This variable determines the participant's immigrant generation status based on a combination of the country of origin of the participant, maternal and paternal parents, and/or the maternal and paternal grandparents.",choices,"",generation,"","",""
Acculturation,lang_pref,Language preference,This variable determines which language was preferred to be used for the baseline examination.,choices,"",language,"","",""
Acculturation,language_subscore_mesa,Language Subscore - MESA,This is a language subscore of the acculturation score similar to the one used in MESA.,numeric,"","","","",""
Acculturation,nativity_subscore_mesa,Nativity Subscore - MESA,This is a nativity subscore of the acculturation score similar to the one used in MESA.,choices,"",nativity,"","",""
Acculturation,race,Race Group (self-report),The self-identification with a race group.,choices,"",race,"","",""
Acculturation,sash_lang,Short acculturation scale for Hispanics-language subscale,This variable indicates the degree of language acculturation.,numeric,"","","","",""
Acculturation,sash_soc,SASH ethic social relations subscale,This variable indicates the degree of social acculturation.,numeric,"","","","",""
Acculturation,site_bkgrd,Cross-Classification of Center and Hispanic/Latino Background,This variable is the self-identification with a Hispanic/Latino cultural group crossed by field center.,choices,"",site_background,"","",""
Acculturation,site_bkgrd_45plus,"Cross-Classification of Center and Hispanic Latino Background, 45+ Years Only","This variable is the self-identification with a Hispanic/Latino cultural group, based on a sub-cohort of participants 45+ years old, crossed by field center and grouped into categories.",choices,"",site_background2,"","",""
Acculturation,us_born,Born in mainland US (50 States + DC),This variable groups the place of birth of the participant to the United States (50 states only) or other place of birth.,choices,"",noyes01,"","",""
Acculturation,us_native,US Born (including territories),"This variable groups the place of birth of the participant to the United States (50 states and US territories which includes Puerto-Rico, Guam, and Virgin Islands) or other place of birth.",choices,"",noyes01,"","",""
Acculturation,yrsus,Years lived in US,"This variable defines years lived in the US as if the participant was not born in the US, then the years lived in the US is equal to the response of PIEA7 or if participant was born in the US, then the years lived in the US is equal to the participant's age.",numeric,years,"","","",""
Acculturation,yrsus_c2,2-level grouped years lived in the US (50 States),This variable is grouped and defined as living less than 10 years in the US or living 10 years or more in the US.,choices,"",yrsus_c2,"","",""
Administrative,any_permit,Any permission for public use of data,Thi variable combines the 3 permission variables to determine whether or not a study participant gave any permission for public use of data.,choices,"",use_permitted,"","",""
Administrative,center,Center,This variable is the field center that was derived from the city of origin.,choices,"",centerid,"","",""
Administrative,centernum,Participant's Field Center - numeric,This variable is the field center that was derived from the city of origin.,choices,"",siteid,"","",""
Administrative,commercial_permit,Permission for for-profit use of data,This variable determines whether or not a study participant gave permission for use for for-profit use of study data.,choices,"",use_permitted,"","",""
Administrative,consent,Consent to Participate in HCHS\SOL Study,This variable determines whether or not a study participant consented to participate in the baseline examination study.,choices,"",noyes01,"","",""
Administrative,dna_available,DNA Available,This variable determines whether or not a study participant had blood draws successfully conducted without incidents or problems for tubes 4 and 5 to make DNA available to investigators associated or not associated to HCHS/SOL and specialized laboratories.,choices,"",noyes01,"","",""
Administrative,external_permit,Permission for investigators outside HCHS/SOL,This variable determines whether or not a study participant gave permission for use for investigators outside HCHS/SOL.,choices,"",use_permitted,"","",""
Administrative,full_afu_eligible,Annual Follow-Up Eligibity (minimum set of forms present),This variable defines a participant as meeting all requirements to determine if eligible for annual follow-up.,choices,"",noyes01,"","",""
Administrative,genotyping,Full consent for genotyping,This variable determines whether or not a study participant fully consented to genotyping for use with investigators associated or not associated to HCHS/SOL and specialized laboratories.,choices,"",noyes01,"","",""
Administrative,np_permit,Permission for non-profit use of data,This variable determines whether or not a study participant gave permission for non-profit use of study data.,choices,"",use_permitted,"","",""
Administrative,pid,Random BioLINCC ID for LAD,"",identifier,"","","","",""
Administrative,vnum,Visit Number,"",choices,"",vnum,"","",""
Anthropometry,bmi,Body Mass Index (BMI),"",numeric,kilograms per meter squared,"","","",""
Anthropometry,bmigrp_c4,4-level grouped Body Mass Index - WHO,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,choices,"",bmi_range,"","",""
Anthropometry,bmigrp_c6,6-level grouped Body Mass Index - WHO,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,choices,"",bmi_range_c6,"","",""
Anthropometry,height,Height (corrected),During two time periods the standing height as measured at the Bronx site was incorrect due to a mis-mounted stadiometer used in measuring all participants. The derived variable was implemented based on a recommendation from the Quality Control subcommittee.,numeric,centimeters,"","","",""
Anthropometry,waist_hip,Waist to Hip Ratio,"",numeric,"","","","",""
Blood Pressure,abi_overall,Overall Ankle Branchial Index (occlusion failure included),Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values. The overall ABI is the mean of those two measurements.,numeric,"","","","",""
Blood Pressure,abigrp_c4,4-level grouped Ankle Brachial Index (occ. failure incl.),This variable groups left and right ABI into 4 categories.,choices,"",abi,"","",""
Blood Pressure,left_abi,Left Ankle Branchial Index (occ. failure incl.),Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values.,numeric,"","","","",""
Blood Pressure,left_abigrp_c4,Left 4-level grouped Ankle Brachial Index (occ. failure incl.),This variable groups left and right ABI into 4 categories.,choices,"",abi,"","",""
Blood Pressure,right_abi,Right Ankle Branchial Index (occ. failure incl.),Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values.,numeric,"","","","",""
Blood Pressure,right_abigrp_c4,Right 4-level grouped Ankle Brachial Index (occ. failure incl.),This variable groups left and right ABI into 4 categories.,choices,"",abi,"","",""
Clinical Characteristics,alcohol_use,Alcohol Use,"",choices,"",never_current,"","",""
Clinical Characteristics,alcohol_use_disorder,Alcohol Use Disorder Risk,"Based on gender-specific cutoffs for weekly alcohol use provided by the National Institute for Alcohol Abuse and Alcoholism, this variable provides a risk level for developing an alcohol use disorder (craving, loss of control, physical dependence, tolerance, etc.)",choices,"",alcohol_risk,"","",""
Clinical Characteristics,alcohol_use_level,Alcohol Use Drinking Level,"Using the weekly alcohol use cutoffs from alcohol_use_disorder, this variable combines never users and former users into a group called 'no current use'. Definitions of 'low level use' and 'high level use' correspond to those of 'low risk drinker' and 'at-risk drinker' from alcohol_use_disorder.",choices,"",alcohol_use,"","",""
Clinical Characteristics,cdcr,"Cerebrovascular Disease and Carotid Revascularization, self-report","This variable checks for medical history of stroke, mini-stroke or TIA, or balloon angioplasty or surgery to the arteries in the neck.",choices,"",noyes01,"","",""
Clinical Characteristics,chd_self,Self-reported CHD,This variable combines the self-reports of coronary revascularization or heart attack.,choices,"",noyes01,"","",""
Clinical Characteristics,cigarette_pack_years,Cigarette Pack Years,This variable calculates the cigarette pack years as the number of exposure years multiplied by the average number of cigarettes smoked per day.,numeric,packs,"","","",""
Clinical Characteristics,cigarette_pack_years_c3,"Cigarette Pack Years (3-level, cutoff=10)",This variable groups cigaratte use into 3 categories,choices,"",years,"","",""
Clinical Characteristics,cigarette_use,Cigarette Use,"",choices,"",never_current,"","",""
Clinical Characteristics,cigarettes_year,Adjusted Cigarettes per Year,This variable calculates the cigarette years as the number of exposure years multiplied by the average number of cigarettes smoked per day.,numeric,cigarettes,"","","",""
Clinical Characteristics,claudication_int,Intermittent Claudication - either leg,This variable defines intermittent claudication being present in either leg,choices,"",noyesdk,"","",""
Clinical Characteristics,current_smoker,Current Smoker (from CIGARETTE_USE),This variable is an indicator to denote current smoker status using the variable cigarette_use.,choices,"",noyes01,"","",""
Clinical Characteristics,cvd_frame,Framingham CVD composite criterion,This variable is an indicator that defines a composite CVD definition based on the Framingham Study criterion.,choices,"",noyes01,"","",""
Clinical Characteristics,diab_diag,Diabetes Diagnosis,"This variable describes the diagnoses of diabetes and whether it was diagnosed before baseline, not diagnosed before baseline but possibly detected from lab data, or as non-diabetic.",choices,"",diab_diag,"","",""
Clinical Characteristics,diab_famhist,Family History of Diabetes,This variable describes the family history of diabetes.,choices,"",noyes01,"","",""
Clinical Characteristics,diabetes1,3-level grouped Diabetes ver.1,This variable describes the stages of diabetes.,choices,"",diabetes3,"","",""
Clinical Characteristics,diabetes2,3-level grouped Diabetes - ADA,This variable describes the stages of diabetes based on American Diabetes Association definition.,choices,"",diabetes3,"","",""
Clinical Characteristics,diabetes2_indicator,Diabetes Indicator - ADA,This variable is based on the Diabetes variable (version 2) stages of diabetes based on American Diabetes Association definition.,choices,"",noyes01,"","",""
Clinical Characteristics,diabetes3,3-level grouped Diabetes - includes self-report,This variable describes the stages of diabetes based on American Diabetes Association definition with an additional self-report criterion.,choices,"",diabetes,"","",""
Clinical Characteristics,diabetes_c4,4-level grouped diabetes (none/pre/treated/untreated),This variable assesses diabetes using variable diabetes3 and medication use based on variables muea33c and med_antidaib.,choices,"",diabetes2,"","",""
Clinical Characteristics,diabetes_lab,3-level grouped Diabetes - Lab,This variable describes the stages of diabetes.,choices,"",diabetes3,"","",""
Clinical Characteristics,diabetes_self,Diabetes - self report only,This variable indicates a self-report of diabetes.,choices,"",noyes01,"","",""
Clinical Characteristics,dm_aware,Diabetes awareness at baseline,This variable describes the awareness of diabetes. Defined only for self-reported diabetics.,choices,"",aware,"","",""
Clinical Characteristics,dm_control,Diabetes controlled: DM Classified at Baseline and A1C < 7%,This variable indicates controlled diabetes. Defined only for diabetics.,choices,"",diabetes4,"","",""
Clinical Characteristics,doctor_visit,Doctor/HCP number of visits in past 12 months,This variable defines grouped categories for the number of times a participant has visited the doctor in the last 12 months.,choices,"",visit_range,"","",""
Clinical Characteristics,ever_angina_relative,At least one relative had report of angina,"This variable combines self-report of angina for immediate family relatives, i.e. mother, father, and sibling(s).",choices,"",noyes01,"","",""
Clinical Characteristics,ever_cabg_relative,At least one relative had report of CABG or angioplasty,"This variable combines self-report of variable cabg or angioplasty for immediate family relatives, i.e. mother, father, and sibling(s).",choices,"",noyes01,"","",""
Clinical Characteristics,ever_mi_relative,At least one relative had report of heart attack,"This variable combines self-report of heart attack for immediate family relatives, i.e. mother, father, and sibling(s).",choices,"",noyes01,"","",""
Clinical Characteristics,exposure_year,Adjusted Years Smoked,This variable calculates the years a participant smoked cigarettes. This is calculated using the difference from the age the participant began smoking to either the participant's age at baseline examination or the age that the participant quit smoking (if applicable).,numeric,years,"","","",""
Clinical Characteristics,fh_chd,Family history of CHD including self-reported angina,"This variable combines the self-reports of angina, heart attack, or procedure (angioplasty, stent, bypass) for immediate family relatives, i.e. mother, father, and sibling(s).",choices,"",noyes01,"","",""
Clinical Characteristics,fh_stroke,Family history of stroke,"This variable combines the self-reports of stroke for immediate family relatives, i.e. mother, father, and sibling(s).",choices,"",noyes01,"","",""
Clinical Characteristics,frame_cvd_risk_10yr,Framingham CVD - 10 year risk (w/lab predictors),This variable defines the Framingham CVD 10 year risk using lab predictors based on the Framingham Study criterion for participants. Individuals 30 to 74 years old only.,numeric,"","","","",""
Clinical Characteristics,hba1c_si,"Glycosylated Hemoglobin (HbA1c) in SI units (mmol/mol), nearest integer","",integer,mmol per mol,"","","",""
Clinical Characteristics,homa_b,HOMA index of Beta Cell Function,This variable defines the Homeostasis model assessment of insulin resistance.,numeric,"","","","",""
Clinical Characteristics,homa_ir,HOMA index of Insulin Resistance,This variable defines the Homeostasis model assessment of insulin resistance.,numeric,"","","","",""
Clinical Characteristics,hypert_awareness,Awareness of Hypertension - NHANES,This variable is defined by the self-report of doctor's diagnosis of hypertension for those who were defined as having hypertension using the NHANES definition only.,choices,"",noyes01,"","",""
Clinical Characteristics,hypert_control,Control of Hypertension - NHANES,This variable is defined for participants whose blood pressure are below the cutoff of 140/90 (both systolic and diastolic must be less than the cutoff values) for those who were defined as having hypertension using the NHANES definition only and also indicated whether or not they were receiving treatment for hypertension.,choices,"",noyes01,"","",""
Clinical Characteristics,hypert_treatment,Treatment of Hypertension - NHANES,This variable is defined by the participant's self-report awareness of hypertension and self-report use of antihypertensive medications for those who were defined as having hypertension using the NHANES definition only.,choices,"",noyes01,"","",""
Clinical Characteristics,hypertension,Hypertension (BP>=140/90 and Med Use),Hypertension is defined here if the systolic or diastolic blood pressure is greater than or equal to 140/90 or if the participant is currently taking antihypertensive medications.,choices,"",noyes01,"","",""
Clinical Characteristics,hypertension2,Hypertension using NHANES definition,Hypertension is defined here using the following NHANES definition: if the systolic or diastolic blood pressure is greater than or equal to 140/90 or if the participant self-reported as currently taking antihypertensive medications.,choices,"",noyes01,"","",""
Clinical Characteristics,hypertension_c4,4-level grouped hypertension (none/pre/treated/untreated),This variable classifies participants into 4 categories based on hypertension and hypertensive.,choices,"",hyper_level,"","",""
Clinical Characteristics,mets_idf,Metabolic Syndrome - IDF definition,"The International Diabetes Federation (IDF) definition emphasizes central obesity because it is 'independently' associated with each of the other metabolic syndrome components, as well as insulin resistance.",choices,"",noyes01,"","",""
Clinical Characteristics,mets_ncep,Metabolic Syndrome - NCEP ATP III,The following definition of metabolic syndrome is based on the updated Adult Treat Panel III (ATP III) of the National Cholesterol Education Program (NCEP) guidelines.,choices,"",noyes01,"","",""
Clinical Characteristics,mets_ncep2,Metabolic Syndrome w/Self-Reported Meds - NCEP ATP III,This variable incorporates the original variable mets_ncep definition with changes to include self-reported medication use instead of scanned/transcribed medication use.,choices,"",noyes01,"","",""
Clinical Characteristics,mi_ecg,MI defined by ECG results,This variable checks some ECG measures to detect possible old MIs.,choices,"",noyes01,"","",""
Clinical Characteristics,prechd_angina,"Prevalent Coronary Heart Disease, including self-report","This variable combines ECG reports of possible old MI as well as self-report of angina, heart attack, or procedure (angioplasty, stent, bypass).",choices,"",noyes01,"","",""
Clinical Characteristics,prechd_no_angina,Prevalent Coronary Heart Disease,"This variable combines ECG reports of possible old MI as well as self-report of heart attack, or procedure (angioplasty, stent, bypass).",choices,"",noyes01,"","",""
Clinical Characteristics,stroke,"Prevalent Stroke, self report",This variable checks for self-report medical history of stroke.,choices,"",noyes01q,"","",""
Clinical Characteristics,stroke_tia,"Prevalent Stroke or TIA, self report",This variable checks for medical history or mini-stroke or TIA.,choices,"",noyes01,"","",""
Clinical Characteristics,totaldrinks_per_week,Total Weekly Alcohol Consumption,This variable determines the total alcohol intake as the numbers of drinks per week only for current drinkers.,numeric,drinks,"","","",""
Dental,perio_cdc_aap,Periodontitis Severity using CDC/AAP Grades,"The HCHS/SOL used a comprehensive full mouth examination protocol examining six sites per tooth in up to 28 teeth yielding up to 168 sites per person. For the purpose of this study, four outcome measures were reported based on the Centers for Disease Control and Prevention and the American Academy of Periodontology (CDC/AAP) case definition of periodontitis at four severity thresholds. These classifications are designed for population-based surveillance of periodontal disease and are based on measures of clinical periodontal clinical attachment level (CAL) and probing pocket depth (PD).",choices,"",perio_grade,"","",""
Dental,perio_extent,Percentage Interproximal Sites Positive for Periodontitis,This is an additional method of describing the extent of disease in the mouth.,numeric,percent,"","","",""
Dental,periodontal_disease,Periodontal Disease - NIDCR,The NIDCR cites the prevalence of periodontal disease based on dental examination probing measurements. To be classified as having periodontal disease there is at least one toother with Attachment Loss (AL) 3mm or greater and Pocket Depth (PD) 4mm or greater.,choices,"",noyes01,"","",""
Design,cohort,Cohort Year (from Household Address Wave Assignment),This variable is an indicator of household sample address allocation and distribution for HCHS/SOL recruitment.,integer,"","","","",""
Design,list_cnt,Sample List-level Hispanic Household Frame Counts,This variable is the sample design list household frame count variable used in statistical analyses.,numeric,"","","","",""
Design,listnum,List Address Record Assigned,This variable is the sample design variable used in statistical analyses.,choices,"",hispanic_address,"","",""
Design,psu_cnt,BG-level Hispanic Household Frame Counts,This variable is the sample design clustering household frame count variable used in statistical analyses.,numeric,"","","","",""
Design,psu_id,Primary Sampling Unit ID,This variable is the sample design clustering variable used in statistical analyses as the cluster variable that is combination of the field center and selected block group identifier.,numeric,"","","","",""
Design,strat,Stratification Variable ID,"This variable is the sample design stratification variable used in statistical analyses as the stratum variable that is a combination of field center, Hispanic household proportion, and SES.",numeric,"","","","",""
Design,strat_cnt,Stratum-level Hispanic Household Frame Counts,This variable is the sample design stratification household frame variable used in statistical analyses.,numeric,"","","","",""
Design,weight_final_expanded,Expanded Census 2010 Final Calibrated Trimmed Nonresponse Adjusted Final Weights - Year 1-3 (frozen as of 10/27/2011),"The calibrated sample weight is the calibrated, trimmed, non-response adjusted reciprocal of a participant’s probability of selection into the HCHS/SOL study. The trimmed, nonresponse adjusted sample weights were calibrated using first the 7-category Hispanic Background distribution and then the 12-category age group/gender distribution using the 2010 Decennial Census. This variable is used for analyses purposes only.",numeric,"","","","",""
Design,weight_final_norm_center,FC-specific Normalized Census 2010 Calibrated Trimmed NonResponse Adjusted Final Weights - Year 1-3 (frozen as of 10/27/2011),"The FC-specific normalized sample weight is the field center specific normalized, calibrated, trimmed, non-response adjusted (household and person-level) reciprocal of a participant’s probability of selection into the HCHS/SOL study. The calibrated, trimmed, non-response adjusted sample weights were normalized using the weighted mean divided by weighted standard deviation calculated for each field center separately and used to normalize the expanded calibrated sample weights (WEIGHT_Final_Norm_Center). This final sample weight variable is used for analyses purposes only when the subpopulation is restricted to within a single site.",numeric,"","","","",""
